period,stage,sku_number,sku_name,role,evidence_gate,release_rule
Month 1,Validation,0,Starter-kit offer test,Commercial validation,"Compare starter kit against single-holder offer; interview desk users with multiple accessories","Do not finalize products unless starter-kit intent exceeds single-item intent or produces higher contribution margin"
Month 2,Core launch,1,Core Starter Kit,Acquisition,"Must solve a complete day-one desk organization job","Launch only with all included accessories independently useful"
Month 2,Core launch,2,Base Expansion Pack,Expansion,"Customers must report running out of base capacity","Hold if expansion intent is not observed"
Month 2,Core launch,3,Catch-all Tray Module,Universal module,"Keys/adapters/USB items recur in desk evidence","Keep only if used weekly in observation"
Month 2,Core launch,4,Pen and Tool Cup Module,Universal module,"Writing and hand-tool storage recurs across desk/craft categories","Keep only if fit covers common object ranges"
Month 2,Core launch,5,Cable Routing Module Pack,Universal module,"Cable disorder recurs across desk/gaming/creator use","Reject variants requiring heat or high pull load"
Month 2,Core launch,6,Phone Rest Module,Universal module,"Phone stands are common desk purchases","No charging electronics or heat-generating function"
Month 3,Core expansion,7,Memo and Card Holder Module,Desk module,"Paper/card visibility is a distinct desk use case","Release only if not redundant with catch-all tray"
Month 3,Core expansion,8,Divided Small-parts Bin,Desk/craft module,"Small-component sorting appears across craft/camera/3D printer use","Avoid tiny removable parts intended for young children"
Month 3,Core expansion,9,Headphone Hanger Module,Desk/gaming bridge,"Headphone holders show substantial paid demand","Low-load indoor use only; validate creep and accidental impact"
Month 3,Core expansion,10,Personalized Label and Nameplate Pack,Customization module,"Color/name customization is visible in gaming and pet/desk markets","Sell only when personalization adds margin after labor"
Month 4,Vertical test,11-14,Creator and Craft Test Pack,Category experiment,"Test camera batteries/cards and craft tools with real owners","One shared need must produce repeat intent before permanent listing"
Month 5,Vertical test,15-18,Gaming and Display Test Pack,Category experiment,"Test controller/headphone and collectible display expansion","Exclude licensed characters and model-specific claims without fit evidence"
Month 6,Portfolio gate,19-24,Winning Vertical Expansion,Scale validated vertical,"Use sales, attach rate, returns and second-order behavior from months 2-5","Kill low-attach modules; do not preserve SKU count for appearance"
