rank,scan_id,product,market_demand_10,repeated_voc_10,structural_simplicity_10,fdm_fit_10,differentiation_10,customization_10,total_60,verdict,evidence_depth
1,61,SKADIS curved hooks 8 pack,9,8,10,10,9,10,56,GO,deep-researched
2,68,Glass shower door razor holder,9,8,10,10,9,10,56,GO,deep-researched
3,3,KitchenAid curved/straight cord organizer,10,8,10,10,8,9,55,GO,deep-researched
4,66,Minimalist razor holder,10,7,10,10,8,9,54,GO,deep-researched
5,36,Wall mounted gravity broom holder PETG,9,8,8,9,9,10,53,GO,deep-researched
6,57,Individual cabinet pot lid holders,10,8,9,9,9,8,53,GO WITH LIMITATIONS,deep-researched
7,46,3D printed remote control holder,9,7,10,10,8,9,53,GO WITH LIMITATIONS,deep-researched
8,1,Kitchen appliance cord wrap,10,7,10,10,7,9,53,GO WITH LIMITATIONS,deep-researched
9,64,Pegboard tech accessory set,7,8,8,9,10,10,52,GO WITH LIMITATIONS,deep-researched
10,19,CalDigit TS4 under-desk mount,10,7,9,9,8,8,51,GO WITH LIMITATIONS,deep-researched
11,48,Wall mount Mitsubishi AC remote holder,6,7,10,10,9,9,51,GO WITH LIMITATIONS,deep-researched
12,62,SKADIS headphone holder,9,6,9,9,8,9,50,GO WITH LIMITATIONS,deep-researched
13,26,Scrub Daddy sponge holder pad 3D printed,8,7,9,9,8,9,50,GO WITH LIMITATIONS,deep-researched
14,18,Under-desk power brick holder PETG,6,7,9,9,10,9,50,GO WITH LIMITATIONS,deep-researched
15,17,The Cable Claw under-desk hub,8,6,9,10,8,8,49,HOLD,deep-researched
16,86,Personalized dog butt leash holder,8,5,9,9,8,10,49,HOLD,deep-researched
17,56,Caraway magnetic 3D printed lid organizer,7,8,8,8,9,7,47,GO WITH LIMITATIONS,deep-researched
18,76,Car headrest hook 4 pack,8,6,9,8,8,8,47,HOLD,deep-researched
19,27,Sponge Butler rapid-dry holder,10,6,8,8,8,7,47,HOLD,deep-researched
20,100,Self adhesive push-grip towel holder,4,7,8,9,9,9,46,HOLD,deep-researched
