id,product_name,platform,country,price,displayed_review_count,rating,primary_material,primary_process,use_case,representative_voc,fdm_fit,source_url,checked_at
1,Kitchen appliance cord wrap,Etsy,US-market-view,$4.00,8600,unknown,plastic,FDM/unknown,wrap appliance power cord,adhesive durability and cord-size fit require validation,high,https://www.etsy.com/market/cord_organizer_for_appliances,2026-07-17
2,Appliance Cord Organizer 3M Stick On,Etsy,US-market-view,$4.99,783,unknown,plastic+adhesive,molded/FDM unknown,store appliance cord,users value keeping mixer cord out of the way; adhesion not individually verified,high,https://www.etsy.com/market/kitchen_appliance_organizer,2026-07-17
3,KitchenAid curved/straight cord organizer,Etsy,US-market-view,$4.25,1100,unknown,plastic,FDM,wrap mixer cord,three cable sizes indicate fit fragmentation,high,https://www.etsy.com/market/kitchen_appliance_organizer,2026-07-17
4,KitchenAid 3D printed cable clip,Etsy,US-market-view,$5.84,915,unknown,plastic,FDM,wrap mixer cord,appearance and layer quality influence perceived value,high,https://www.etsy.com/market/cord_organizer_for_appliance,2026-07-17
5,Kitchen mixer cord organizer,Etsy,US-market-view,$8.00,3700,unknown,plastic,FDM/unknown,store mixer cord,fit and adhesive evidence not exposed on category page,high,https://www.etsy.com/market/cord_organizer_for_appliances,2026-07-17
6,Universal cord organizer,Etsy,US-market-view,$9.99,766,unknown,plastic,FDM/unknown,wrap multiple appliance cords,universal fit claim needs cable-diameter evidence,high,https://www.etsy.com/au/market/cable_organizer_kitchen,2026-07-17
7,KitchenAid peel-and-stick cord organizer,Etsy,US-market-view,$4.95,306,unknown,plastic+adhesive,FDM/unknown,store mixer cable,adhesive is a likely failure boundary but direct VOC unavailable,high,https://www.etsy.com/market/cord_organizer_for_appliances,2026-07-17
8,Magnetic stand mixer cord manager,Etsy,US-market-view,$14.39,18,unknown,plastic+magnet,FDM+assembly,removable mixer cord storage,small review base and magnet holding force unknown,high,https://www.etsy.com/market/kitchen_appliance_organizer,2026-07-17
9,Appliance cord organizer 10 pack,Etsy,US-market-view,$16.99,21,unknown,plastic+adhesive,molded,organize multiple appliances,commodity pack creates price pressure,high,https://www.etsy.com/market/cord_organizer_for_appliances,2026-07-17
10,Stand mixer cord organizer 3D printed,Etsy,US-market-view,$7.98,4,unknown,plastic,FDM,wrap mixer cable,insufficient VOC,high,https://www.etsy.com/market/cord_organizer_for_appliances,2026-07-17
11,Wire-Tidy cable management system,Etsy,US-market-view,$7.50,3300,unknown,plastic,FDM,manage general wires,detailed compatibility VOC not exposed,high,https://www.etsy.com/market/cord_organizer_for_appliances,2026-07-17
12,Self adhesive cable organizer,Etsy,Sweden,$7.94,1,5.0,plastic+adhesive,FDM,wall cable routing,buyer added screws suggesting adhesive confidence issue,high,https://www.etsy.com/shop/UP3DLab,2026-07-17
13,Minimalist rotating cable winder,Etsy,US-market-view,$27.99,7,4.3,plastic,FDM,wind desk and travel cables,one review says only very thin cords fit,high,https://www.etsy.com/listing/4330437914/minimalist-cable-winder-organizer-3d,2026-07-17
14,Electronics cable winder pack of 5,Etsy,US-market-view,$5.99,33,unknown,plastic,FDM/unknown,store loose cables,no direct VOC,high,https://www.etsy.com/market/cord_organizer_for_appliances,2026-07-17
15,Personalized wooden plug holder,Etsy,US-market-view,$16.02,11,unknown,wood+adhesive,CNC/laser,hold appliance plug,adhesion and plug geometry unknown,medium,https://www.etsy.com/market/cord_organizer_for_appliances,2026-07-17
16,Desk cable chain,Etsy,US-market-view,$9.37,21,unknown,plastic,FDM,guide sit-stand desk cables,link articulation and snagging VOC unknown,high,https://www.etsy.com/market/under_desk_cable_management,2026-07-17
17,The Cable Claw under-desk hub,Etsy,US-market-view,$8.99,686,unknown,plastic,FDM,collect under-desk cables,retention and mounting evidence incomplete,high,https://www.etsy.com/market/under_desk_cable_management,2026-07-17
18,Under-desk power brick holder PETG,Etsy,US-market-view,$15.99,39,unknown,PETG,FDM,secure power brick under desk,device dimension variation is core fit risk,high,https://www.etsy.com/market/under_desk_cable_management,2026-07-17
19,CalDigit TS4 under-desk mount,Etsy,US-market-view,$15.19,2300,unknown,plastic,FDM,mount docking station,device-specific fit and heat clearance matter,high,https://www.etsy.com/market/under_desk_cable_management,2026-07-17
20,Desk mount kit for Anker Prime 250W,Etsy,US-market-view,$17.99,2800,unknown,plastic,FDM,mount charger under desk,device revision and ventilation fit risk,high,https://www.etsy.com/market/under_desk_organizers,2026-07-17
21,Dell WD25 dock under-desk mount,Etsy,US-market-view,$29.98,1300,unknown,plastic,FDM,mount Dell dock,device-specific fit risk,high,https://www.etsy.com/market/under_desk_organizers,2026-07-17
22,Under-desk laptop holder 7 sizes,Etsy,US-market-view,$14.99,2300,unknown,plastic,FDM,mount laptop under desk,width and ventilation compatibility are key,medium,https://www.etsy.com/market/under_desk_organizers,2026-07-17
23,Under-desk phone hard-drive rack,Etsy,US-market-view,$25.19,2000,unknown,plastic,FDM,store phone and drives,adhesive/screw mounting and device fit unknown,high,https://www.etsy.com/market/under_desk_organizers,2026-07-17
