rank,platform,brand,country,primary_channel,observed_price,base,confirmed_accessory_scope,categories,coupling_class,base_fdm_fit_5,accessory_fdm_fit_5,customization_5,production_difficulty_5,shipping_difficulty_5,inventory_burden_5,repurchase_10,sku_expansion_10,community_10,user_customization_10,seasonal_expansion_10,collaboration_10,brand_building_10,fdm_friendliness_10,total_80,verdict,representative_voc,evidence_scope,representative_image_and_source_url,checked_at
1,Gridfinity,Open standard,US-origin/global,Community/open source,Free files,42 mm grid baseplate,"No finite SKU count; generators and community catalog",Desk|Workshop|Garage|Office,Grid/drop-in,5,5,5,2,1,1,10,10,10,10,8,10,9,10,77,GO,"Users continue creating vertical and object-specific extensions; catalog fragmentation makes discovery difficult",Official/community documentation; no commercial repeat-purchase cohort data,https://gridfinity.xyz/,2026-07-17
2,Multiboard,Keep Making,US-origin/global,Official library/community,Free core + paid convenience packs,Printable wall tiles,"700+ parts stated by official FAQ",Workshop|Desk|Garage|Office|Craft,Snaps|bolts|rails,5,5,5,4,2,1,10,10,10,10,8,10,9,10,77,GO,"Official FAQ records slipping bolts and tolerance variants; breadth creates learning burden",Official library and FAQ; no retail repeat-purchase cohort data,https://www.multiboard.io/knowledge-hub/,2026-07-17
3,Honeycomb Storage Wall,Community open standard,Global,Printables/community,Free files,Printable honeycomb panels,"Exact count unknown; many remixes and tagged accessories",Workshop|Desk|Display|Garage,Pin|press-fit,5,5,5,3,2,1,9,10,9,10,7,9,8,10,72,GO WITH LIMITATIONS,"Users report panel-layout gaps and sometimes redesign every accessory despite the ecosystem",Community model pages and user discussions; exact active accessory count unknown,https://www.printables.com/model/152592-honeycomb-storage-wall,2026-07-17
4,openGrid,openGrid,Global,Official site|Printables|MakerWorld,Free files,28 mm printable board,"15+ core/adapter/generator links confirmed; community collection separate",Desk|Wall|Workshop|Cable management,Snaps|screws|adapters,5,5,5,3,2,1,9,9,8,10,8,9,8,10,71,GO,"Official accessory page remains WIP; interoperability is strong but catalog maturity is still developing",Official guides and links page,https://www.opengrid.world/,2026-07-17
5,IKEA SKADIS,IKEA,Sweden/global,IKEA,$5 hook pack; boards sold separately,Pegboard in multiple sizes,"10+ official accessory families; thousands of third-party printable models reported",Desk|Kids|Beauty|Kitchen|Office|Craft,Hook|clip|slot,3,5,5,2,2,2,9,9,9,9,7,8,9,9,69,GO,"Official reviews report hooks lifting or rotating when an item is removed; fit varies among third-party prints",Official catalog/reviews plus maker-community evidence,https://www.ikea.com/us/en/cat/skadis-series-37813/,2026-07-17
9,Bubbluu BLOCK,Bubbluu,South Korea,Bubbluu official|Naver Pay,KRW 6900-26800 observed,Reusable suction BLOCK base within sets,"4 functional 1-slot modules confirmed: toothpaste/toothbrush/razor/multipurpose; family sets",Bathroom|Beauty|Kids,Suction base|block module,3,4,4,3,1,3,8,7,5,8,4,8,8,7,55,GO WITH LIMITATIONS,"663 reviews on main holder; praise for appearance/reuse and repeat intent, but reviews also report detachment after repositioning and awkward insertion",Official product catalog and customer reviews; customer-level repeat order rate unavailable,https://bubbluu.com/product/detail.html?product_no=81,2026-07-17
7,Wall Control Metal Pegboard,Wall Control,USA,Official|Amazon|Home Depot,USD 49.97-99.99 starter kits,Steel slotted/quarter-inch pegboard,"20+ hook/shelf/bin families visible across official collections",Garage|Workshop|Laundry|Office,Slot|quarter-inch peg,2,4,3,2,3,3,8,9,6,8,5,7,8,7,58,GO WITH LIMITATIONS,"Stable engagement is a purchase reason; accessory locking and cross-standard compatibility are emphasized",Official catalog; independent repeat-purchase data not exposed,https://www.wallcontrol.com/,2026-07-17
6,GOEWS,GOEWS,Global,Official|community,Free files,Printable hex tile matrix,"Exact count unknown; core and Gridfinity-compatible ecosystem",Workshop|Desk|Garage,Hex tile|Gridfinity adapter,5,5,5,4,2,1,7,8,6,9,6,7,6,10,59,HOLD,"Open compatibility is attractive but evidence of broad adoption and recurring module use remains limited",Official site and interoperability references; demand evidence limited,https://goews.ws/,2026-07-17
8,String System,String Furniture,Sweden/global,Official|design retailers,Premium; configuration dependent,Wall/floor panels and uprights,"10+ shelf/cabinet/table/accessory families; exact live SKU count not normalized",Living|Office|Kitchen|Kids|Entryway,Pin|rail|shelf bracket,1,3,3,3,4,4,8,9,4,8,6,8,10,3,56,HOLD,"Long-lived system and broad rooms support expansion; premium metal/wood base is not FDM-replaceable",Official catalog; customer repeat-purchase cohort not available,https://stringfurniture.com/products/system,2026-07-17
10,Gladiator GearWall/GearTrack,Gladiator,USA,Official|Home Depot,USD 29.99 rail pair; USD 9.99+ accessories,Steel/PVC wall rail or slatwall,"50 wall-organization products shown in official collection",Garage|Sports|Garden|Workshop,Slatwall|rail hook,1,3,2,3,4,4,8,9,5,7,5,7,9,4,54,HOLD,"Customers gain repositionable heavy-duty storage; system price and proprietary wall coverage raise switching cost",Official catalog and product pages,https://www.gladiatorgarageworks.com/collections/gm-wall-organization,2026-07-17
11,balolo Setup Cockpit,balolo,Germany,Official|Etsy,Premium; base and accessories sold separately,Wood desk shelf with underside mounting grid,"9+ accessory types observed across official assortment",Desk|Office|Gaming,Screw mount|underside grid,1,4,4,3,3,3,8,7,5,7,4,8,9,6,54,GO WITH LIMITATIONS,"Users praise finish and add-on uniqueness but repeatedly question premium price and international shipping for later accessories",Official product ecosystem plus independent user discussions,https://en.balolo.de/collections/setup-cockpit,2026-07-17
12,IKEA PAX/KOMPLEMENT,IKEA,Sweden/global,IKEA,USD 25 shelf; USD 50 drawer observed,PAX wardrobe frame,"45 interior-organizer items listed",Closet|Laundry|Bedroom,Pin|rail|screw,1,2,2,3,5,5,8,9,4,8,5,7,10,2,53,HOLD,"Thousands of reviews confirm system use; missing or unavailable accessories can leave the base unusable",Official catalog and reviews,https://www.ikea.com/us/en/cat/pax-interior-organizers-19113/,2026-07-17
